,Agent,Home Type,Year Built,Address,Bedrooms,Bathrooms,Square Feet,Price,Sold Date,Sold Price
207,,townhomes,2003.0,20566 NW Sedona Ln,3.0,3.0,2178.0,449000.0,2016-06-30,260100.0
208,,single_family,,12400 SW Strobel Rd,3.0,,,781990.0,,
209,,single_family,1986.0,6515 SW 154th Pl,4.0,3.0,7405.0,774900.0,2007-07-18,384000.0
210,,single_family,2001.0,12095 SW Fulmar Ter,4.0,3.0,5663.0,739900.0,2017-07-20,547000.0
211,,single_family,1948.0,12125 SW Greenwood St,3.0,2.0,9148.0,519000.0,1994-10-17,52250.0
212,,townhomes,2004.0,15225 SW Sparrow Loop Unit 102,2.0,3.0,,385000.0,2021-10-25,330000.0
213,,condos,1986.0,20470 SW Rosa Dr,2.0,2.0,,319000.0,,
214,,single_family,2019.0,16572 SW Snowdale St,4.0,3.0,3920.0,799000.0,2020-02-24,604990.0
215,,townhomes,2004.0,9515 SW 153rd Ave,3.0,3.0,2614.0,499000.0,2015-06-18,248500.0
216,,single_family,1994.0,21532 SW Samantha Ln,3.0,3.0,6970.0,585000.0,2017-08-28,390000.0
217,,single_family,1995.0,18246 SW Berg Ct,3.0,2.0,4356.0,515000.0,2015-08-12,249900.0
218,,single_family,,12400 SW Strobel Rd,3.0,,,860990.0,,
219,,single_family,,12400 SW Strobel Rd,3.0,,,815990.0,,
220,,single_family,2022.0,8842 SW 176th Ave Unit 12,4.0,3.0,4356.0,699950.0,,
221,,condos,2003.0,1173 NE Perl Way,3.0,2.0,,379000.0,2022-05-18,358300.0
222,,single_family,1958.0,5340 SW Dover Ln,3.0,3.0,10019.0,819900.0,2003-10-31,316000.0
223,,single_family,1988.0,10585 SW 133rd Pl,4.0,3.0,6970.0,700000.0,2016-06-14,578969.0
224,,mobile,1995.0,17473 NW Shady Fir Loop Unit 54,3.0,2.0,,268000.0,,
225,,townhomes,2003.0,17447 SW November Ct,3.0,3.0,871.0,399900.0,2018-09-28,279900.0
226,,single_family,1995.0,175 SW Seminole Dr,3.0,3.0,7405.0,499000.0,2005-05-20,223000.0
227,,mobile,1995.0,17495 NW Shady Fir Loop Unit 58,3.0,2.0,,229900.0,,
228,,single_family,1993.0,16205 SW Nighthawk Dr,5.0,3.0,12197.0,985000.0,,
229,,single_family,1995.0,600 NW 176th Ct,4.0,3.0,5227.0,550000.0,1998-03-24,150000.0
230,,single_family,1968.0,975 SW Perfecta Ave,3.0,2.0,9583.0,569000.0,1986-04-01,59500.0
231,,condos,2015.0,13875 SW Meridian St Unit 140,1.0,1.0,,275000.0,2015-04-23,149900.0
232,,condos,2005.0,12675 SW Night Heron Ln Unit 102,3.0,3.0,940.0,412000.0,2022-03-23,320000.0
233,,townhomes,2002.0,17481 SW October Ct,4.0,3.0,871.0,369000.0,2021-09-30,350000.0
234,,single_family,1977.0,16110 SW Rosa Rd,3.0,2.0,7841.0,589900.0,2017-09-29,380000.0
235,,townhomes,2002.0,15457 SW Bygones Ct,3.0,3.0,3920.0,475000.0,2020-10-16,356000.0
236,,single_family,1978.0,8147 SW 184th Ave,4.0,3.0,11761.0,649900.0,2003-05-07,232500.0
237,,single_family,1986.0,9060 SW Quint Ct,3.0,2.0,6970.0,519000.0,1994-12-29,120000.0
238,,single_family,2022.0,8488 SW 176th Ave,3.0,3.0,,679950.0,,
239,,single_family,1997.0,12410 SW Macorey Ct,3.0,2.0,5227.0,479000.0,1998-02-12,156950.0
240,,single_family,1930.0,6845 SW 195th Ave,2.0,1.0,8712.0,325000.0,1983-08-01,36000.0
241,,single_family,1967.0,13855 SW 20th St,3.0,1.0,7405.0,499000.0,2013-09-05,204450.0
242,,single_family,1971.0,7525 SW 142nd Ct,3.0,2.0,9148.0,599900.0,1996-01-02,166000.0
243,,single_family,1978.0,20575 SW Clarion St,3.0,2.0,8276.0,585000.0,2020-06-03,450000.0
244,,townhomes,2012.0,16275 SW Mason Ln,3.0,3.0,871.0,445000.0,2018-11-08,307000.0
245,,single_family,1969.0,11875 SW Ridgeview Ter,5.0,3.0,7841.0,849900.0,2014-09-05,359900.0
246,,single_family,1986.0,13920 SW Secretariet Ln,3.0,2.0,8276.0,700000.0,2019-04-29,565000.0
247,,single_family,1985.0,17509 NW Autumn Ridge Dr,3.0,2.0,8276.0,650000.0,2022-04-15,650000.0
248,,single_family,1980.0,12680 SW Tiger Lilly Ln,4.0,3.0,7841.0,685000.0,1986-10-01,87500.0
249,,single_family,1984.0,6828 SW 204th Ave,3.0,2.0,7841.0,534999.0,2017-12-28,336900.0
250,,townhomes,2000.0,15970 SW Roth Dr,3.0,3.0,2178.0,439900.0,2016-03-30,235000.0
251,,single_family,1962.0,450 SW Frenwood Way,5.0,3.0,7841.0,899950.0,2021-02-16,503500.0
252,,single_family,1981.0,17109 NW Woodmere Ct,4.0,3.0,21344.0,945000.0,2013-06-21,435000.0
253,,single_family,2018.0,16949 SW Friendly Ln,4.0,3.0,2614.0,689900.0,2018-08-23,501675.0
254,,single_family,1973.0,15775 SW Village Cir,1.0,1.0,3049.0,369500.0,,
255,,single_family,2003.0,10594 SW Adele Dr,4.0,3.0,2614.0,649900.0,2004-01-23,80000.0
256,,single_family,1981.0,19518 SW Alderwood Ct,4.0,3.0,10019.0,689000.0,1981-12-01,84100.0
257,,single_family,2013.0,14290 SW Compass Dr,4.0,3.0,1307.0,575000.0,2019-05-06,435000.0
258,,single_family,1994.0,149 SW Seminole Dr,3.0,3.0,8712.0,529900.0,2015-04-30,285000.0
259,,townhomes,1980.0,18107 SW Monte Verdi Blvd,3.0,2.0,3920.0,389900.0,2016-07-22,278000.0
260,,single_family,1979.0,1842 SW Edgewood Ct,3.0,3.0,8712.0,599900.0,1992-08-03,108000.0
261,,single_family,1983.0,2136 SW 218th Pl,3.0,2.0,6970.0,475000.0,2015-07-01,230000.0
